n,Jn(1),Jn(5),Jn(50)
0,7.6519768656e-01,-1.7759677131e-01,5.5812327669e-02
1,4.4005058574e-01,-3.2757913759e-01,-9.7511828125e-02
2,1.1490348493e-01,4.6565116278e-02,-5.9712800794e-02
3,1.9563353983e-02,3.6483123061e-01,9.2734804062e-02
4,2.4766389641e-03,3.9123236046e-01,7.0840977282e-02
5,2.4975773021e-04,2.6114054612e-01,-8.1400247697e-02
6,2.0938338002e-05,1.3104873178e-01,-8.7121026821e-02
7,1.5023258174e-06,5.3376410156e-02,6.0491201260e-02
8,9.4223441726e-08,1.8405216655e-02,1.0405856317e-01
9,5.2492501799e-09,5.5202831385e-03,-2.7192461044e-02
10,2.6306151237e-10,1.4678026473e-03,-1.1384784915e-01
